area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00174557,44,18,20,18,50,67,103,56,43,45,50,34,26,14,7,3,0,2
E00174649,17,20,19,40,56,29,20,25,16,9,11,15,9,1,0,0,0,0
E00174650,4,1,2,248,75,16,16,7,6,7,2,3,1,2,0,0,1,0
E00174651,6,3,6,100,18,12,8,11,12,13,6,7,5,6,2,0,0,1
E00174652,2,3,0,4,17,16,8,8,4,8,7,8,6,6,3,5,3,1
E00174653,15,15,14,104,61,20,26,15,11,14,13,13,5,16,15,12,9,7
E00174654,17,21,21,270,83,30,28,21,20,20,25,20,8,8,6,8,2,2
E00174656,6,3,8,10,36,27,18,14,17,11,11,6,2,4,12,2,3,3
E00174657,8,15,22,23,26,21,23,20,22,23,12,10,7,6,7,4,1,4
E00174658,9,4,6,3,17,17,21,13,13,7,5,8,6,11,11,4,1,7
E00174659,11,2,3,16,50,32,20,15,15,14,15,14,11,8,4,4,4,1
E00174660,3,0,3,4,24,14,7,11,2,3,9,8,14,6,5,3,5,1
E00174661,12,4,6,169,83,25,19,10,3,7,12,20,10,11,9,0,5,4
E00174666,13,4,4,5,14,14,22,11,23,9,5,5,5,0,0,1,0,0
E00174667,8,17,14,282,140,36,20,22,11,9,9,9,14,6,3,4,1,1
E00174668,22,15,26,16,30,24,21,18,14,10,25,14,13,16,16,7,11,9
E00174669,26,40,43,35,21,28,25,26,26,20,16,22,13,6,9,1,1,0
E00174670,13,15,6,1,8,33,44,28,15,8,6,9,5,2,8,1,1,2
E00174671,3,4,3,3,31,28,8,6,11,9,11,15,4,6,2,0,3,4
E00174672,7,2,5,6,3,57,40,28,22,17,16,12,8,2,0,0,1,1
E00174673,0,0,0,1,2,13,5,10,7,16,26,11,6,0,1,0,1,0
E00174674,1,0,1,6,33,35,22,12,5,6,6,6,5,0,0,2,0,1
E00174675,11,14,2,7,30,27,26,8,6,12,9,12,16,4,8,5,3,2
