area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00081186,22,30,30,18,9,17,33,24,23,21,18,22,16,12,12,10,8,6
E00081187,17,21,16,22,20,12,19,25,29,18,29,25,30,21,18,17,4,8
E00081188,13,16,11,18,16,14,15,13,10,13,15,17,14,13,15,9,9,10
E00081189,47,27,24,19,19,37,28,29,17,18,27,25,18,7,9,5,3,0
E00081190,13,22,17,30,18,15,15,17,22,33,9,12,11,16,13,8,12,3
E00081191,16,16,26,19,16,22,23,19,17,17,25,43,21,22,19,14,14,5
E00081192,53,34,36,29,25,38,40,32,27,22,22,24,17,7,11,2,4,1
E00081193,34,17,16,8,14,31,29,26,10,15,16,21,16,7,3,3,1,2
E00081194,5,11,1,7,3,14,12,12,7,4,7,13,18,9,8,7,6,6
E00081195,31,26,22,12,19,29,32,25,25,17,10,23,14,7,9,3,2,3
E00081196,30,32,33,27,17,21,20,37,34,24,25,19,15,11,8,8,3,2
E00081197,24,26,25,16,19,20,20,23,28,22,22,18,8,15,9,2,1,1
E00081198,24,28,32,29,19,20,25,20,31,22,32,16,12,14,8,7,4,2
E00081199,19,13,22,17,23,32,33,22,29,22,31,28,26,12,10,8,1,5
E00081200,27,26,18,24,22,24,22,26,24,23,21,19,21,10,10,9,5,1
E00081201,42,40,35,17,16,24,23,39,29,23,19,10,12,5,3,4,4,0
E00081202,34,31,33,37,41,46,35,38,21,26,37,33,24,19,11,9,5,2
E00081203,14,15,12,22,25,22,13,8,5,9,14,20,6,6,3,5,1,1
E00081204,35,35,37,16,18,36,29,37,31,24,30,26,16,10,24,11,10,1
E00081205,16,13,12,15,19,20,24,25,12,19,32,16,17,8,6,8,7,9
E00081206,20,30,32,28,17,14,17,26,23,29,26,20,6,4,9,6,4,0
E00081207,46,48,49,25,23,34,37,34,38,31,16,15,28,19,16,5,4,6
E00081208,23,22,22,9,12,18,28,22,17,11,22,10,13,10,6,20,19,32
E00081209,5,2,4,5,1,8,11,7,1,9,16,18,29,14,19,14,6,6
E00081210,10,14,17,14,9,12,22,22,19,26,21,20,22,18,10,14,15,13
E00081211,16,20,15,13,17,22,23,18,19,19,26,25,23,21,19,18,11,10
E00081212,13,8,6,8,10,24,20,10,12,20,14,19,13,15,18,4,1,1
E00081213,17,8,19,14,11,20,19,23,12,20,23,23,14,15,17,20,14,6
E00081214,14,24,16,17,11,15,16,22,16,12,21,23,15,12,6,9,4,4
E00081215,21,16,13,16,8,23,31,18,10,21,21,21,22,19,15,15,8,2
E00081216,17,21,30,30,21,17,24,25,28,27,33,31,18,18,19,4,4,6
E00081217,30,38,28,24,24,17,22,20,18,26,21,19,21,14,11,14,7,2
E00081218,16,30,24,20,20,15,24,27,25,38,29,35,19,15,13,9,3,3
E00081219,22,34,37,26,16,30,18,32,24,28,31,19,13,20,14,5,2,0
E00081220,14,25,20,17,16,18,30,28,28,17,16,17,19,10,14,7,4,2
E00081221,29,24,27,20,16,15,20,19,17,11,9,11,18,18,12,3,5,8
E00081222,16,30,27,24,23,23,25,15,16,31,21,26,26,22,11,11,2,14
E00081223,14,21,35,19,22,14,34,22,23,16,33,30,17,17,6,7,4,6
E00081224,13,27,28,23,15,26,20,33,25,25,24,27,17,7,10,6,6,4
E00081225,11,11,16,10,7,11,15,15,24,13,18,20,23,18,20,11,10,5
E00081226,44,33,25,19,18,25,37,44,29,23,30,15,12,4,7,0,1,3
E00081227,37,36,29,27,26,21,41,42,35,17,22,18,18,9,4,2,1,0
E00081228,30,16,20,18,21,24,21,19,31,21,19,18,22,10,9,12,4,3
E00081229,37,30,25,16,27,38,39,45,31,32,35,22,22,13,9,0,4,1
E00081230,18,16,18,25,18,21,27,20,19,26,31,30,15,7,14,10,2,3
