area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00120619,19,30,20,12,9,21,27,23,29,13,16,22,19,15,15,8,6,13
E00120620,9,2,1,3,8,18,12,7,7,6,13,11,7,6,0,2,1,2
E00120621,10,18,28,13,20,23,22,20,22,18,26,16,14,10,10,8,11,10
E00120622,13,19,14,15,14,24,34,19,15,24,20,25,15,15,18,5,5,4
E00120623,19,19,14,21,12,18,29,21,20,12,36,30,36,18,9,3,4,1
E00120624,27,32,18,21,14,8,27,40,31,26,21,21,20,17,8,11,10,7
E00120625,38,32,24,21,20,35,33,32,26,26,27,19,17,11,13,9,5,3
E00120626,14,24,9,9,8,18,22,14,9,19,22,11,14,13,13,12,4,16
E00120627,20,25,20,19,15,21,31,28,24,22,22,33,20,16,9,5,9,4
E00120628,17,26,17,12,19,26,24,33,19,17,13,23,29,16,13,4,11,10
E00120629,27,31,32,21,14,21,22,32,31,15,21,19,18,10,17,8,8,0
E00120630,27,12,27,26,29,25,25,21,21,20,29,24,15,13,10,7,6,3
E00120631,22,20,22,25,18,31,37,23,24,19,28,28,16,7,10,11,7,3
E00120632,26,25,33,31,20,23,29,14,12,34,31,23,8,16,14,9,3,2
E00120633,18,21,13,11,20,26,24,16,22,11,21,19,13,10,7,4,5,10
E00120634,17,20,11,12,16,12,28,19,10,21,6,15,12,4,3,0,1,1
E00120635,26,23,24,28,30,29,21,23,22,17,22,18,14,5,6,4,3,8
E00120636,20,17,19,11,14,22,27,27,16,16,23,21,18,6,8,7,5,0
E00120637,23,19,11,8,10,29,17,29,14,17,21,11,13,8,14,2,2,4
E00120638,14,14,17,18,26,26,30,18,15,16,25,26,12,10,6,9,5,7
E00120639,23,18,22,17,11,21,19,28,17,19,22,13,30,3,9,6,13,12
E00120641,12,21,38,16,28,15,28,20,16,22,28,25,16,9,13,7,3,2
E00120642,26,34,21,22,21,18,32,26,22,19,21,18,13,9,8,6,3,3
E00120643,35,35,23,26,40,34,29,29,22,19,28,26,16,5,14,8,8,4
E00120644,21,7,14,8,9,18,14,15,8,8,3,16,11,3,8,9,13,19
E00120645,33,25,11,9,16,52,53,40,28,18,14,19,8,4,6,4,3,2
E00120646,15,19,16,15,21,26,24,21,26,21,21,16,18,14,11,11,13,10
E00120647,25,21,31,27,21,30,28,33,38,15,23,28,17,15,6,5,4,9
E00120648,27,25,12,15,28,22,31,24,25,19,21,11,15,11,10,10,5,7
E00120649,13,22,25,11,13,15,16,23,21,15,21,19,16,12,15,5,12,6
E00120650,13,20,20,10,12,14,17,16,23,15,19,30,30,24,24,20,15,15
E00120652,18,11,27,15,25,21,25,16,17,22,30,20,25,12,13,15,5,11
E00120653,25,25,17,16,17,23,24,25,21,11,17,28,15,10,13,8,9,7
