area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00104829,6,13,13,9,14,17,13,16,12,10,23,28,15,22,13,14,8,10
E00104830,21,19,31,25,24,22,22,32,22,34,26,27,23,15,13,10,9,6
E00104831,4,7,13,5,5,4,9,3,5,8,8,21,17,26,20,13,9,6
E00104832,12,17,11,15,14,9,11,12,13,25,40,38,27,15,23,9,5,13
E00104833,10,12,22,15,24,24,20,22,17,22,20,22,18,15,14,11,13,24
E00104834,15,14,22,23,15,5,15,18,26,38,23,21,26,39,35,43,22,19
E00104835,21,22,38,29,25,39,31,26,26,27,43,22,19,13,16,8,11,9
E00104836,11,13,18,17,9,11,17,15,18,21,24,14,22,21,23,12,4,4
E00104837,3,10,9,1,2,8,10,10,7,11,8,19,29,28,33,21,17,20
E00104838,5,8,5,6,9,8,10,16,11,11,15,11,20,16,20,13,12,14
E00104839,8,8,10,7,12,15,15,16,12,19,21,24,37,15,20,17,19,36
E00104840,23,23,26,12,20,29,27,11,19,25,21,20,22,12,13,9,4,3
E00104841,4,8,7,8,12,11,5,7,10,14,29,37,28,44,30,23,20,16
E00104842,31,40,51,35,32,31,39,49,57,56,44,36,24,31,25,18,3,8
E00104843,25,24,19,17,11,26,32,17,21,18,18,33,14,18,9,8,6,6
E00104844,11,20,28,13,16,22,24,23,21,22,25,19,30,14,11,9,7,1
E00104845,11,18,16,23,19,23,19,12,19,26,13,32,32,19,20,11,7,3
