msoa,centroid_easting,centroid_northing,station,station_easting,station_northing,postcode,station_postcode_distance,distance_to_msoa_centroid
E02003250,519306.5767,299384.4826,Peterborough (Nene Valleyway),518859.0,298083.0,PE2 9NR,9.203504983816271e-06,1.3751197468270506
E02002891,459772.4109,340578.076300001,Lace Market Tram ,457509.6666666667,339854.3333333333,NG1 1QQ,3.2952962002609423e-06,2.3692235646414783
E02001777,430633.3833,564472.4432,Hebburn (Tyne and Wear Metro),430792.0,564663.0,NE311NY,1.691219566704845e-05,0.24750912142961834
E02005746,399603.8522,451648.8353,Embsay (Embsay & Bolton Abbeyway),400643.0,453282.0,BD236QQ,1.6725398288067464e-05,1.9332475209665736
E02004542,543953.7367,193159.7359,Chigwell Underground,543737.6666666666,193046.0,IG7 6NT,3.624998021514624e-06,0.24355230068254785
E02005601,610908.7441,302271.2544,Wymondham Abbey (Mid Norfolkway),610448.0,301461.0,NR189PH,3.3767861424658205e-05,0.9305812195332259
E02004538,542976.5696,196893.3847,Loughton Underground,542321.0,195638.5,IG104PD,2.367847486592742e-06,1.4142706164587353
E02001737,428806.2524,563666.3408,Pelaw (Tyne and Wear Metro),429392.0,562095.0,NE100UP,1.2587342438172038e-05,1.6752050942484185
E02006841,425990.9078,562803.1383,shead Stadium (Tyne and Wear Metro),426477.0,562653.0,NE8 3NU,1.3659334641169854e-05,0.5073253448691618
E02001794,437317.9616,559206.3857,Pallion (Tyne and Wear Metro),437467.0,557725.0,SR4 6TR,1.4865126993698273e-05,1.4876615072919523
E02005320,332290.7774,447654.191199999,Stanley Road (Blackpool Tramway),333064.0,447195.3333333333,FY7 6SQ,8.266713447744584e-06,0.8969538802988706
E02001699,428249.8796,560332.128599999,Heworth (Tyne and Wear Metro),428593.0,561982.0,NE100LW,1.1428296373018544e-05,1.6836842410594224
E02001692,426622.2018,561586.8813,Felling (Tyne and Wear Metro),427555.0,562120.0,NE100JB,9.481290208174614e-06,1.071745650539425
E02007099,424543.0562,564600.4681,St James (Tyne and Wear Metro),424360.0,564450.0,NE1 4TP,1.3385785156830004e-05,0.23645792590569306
E02003257,516175.5116,295490.911,Orton Mere (Nene Valleyway),516638.0,297157.0,PE2 7DZ,1.5284456553967966e-05,1.7277924876044952
E02001735,428400.6697,564276.0086,Byker (Tyne and Wear Metro),427010.0,564695.0,NE6 1PL,1.0304671871708271e-05,1.4483335199679443
E02001689,424906.3642,562166.5143,shead (Tyne and Wear Metro),425457.0,563038.0,NE8 1LX,1.1906043746215527e-05,1.0293944031394777
E02004973,510854.3743,198220.9022,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,2.0616340960562507
E02005326,331807.7436,443443.090700001,Thornton  (Blackpool Tramway),331766.6666666667,443510.0,FY5 1HG,7.899135757749511e-06,0.0784081358760568
E02004967,511371.5871,192732.0965,Northwood,509241.5,191429.0,HA6 2XL,2.318448899088728e-06,2.491325990670809
E02003249,520739.4324,300099.8824,Peterborough (Nene Valleyway),518859.0,298083.0,PE2 9NR,9.203504983816271e-06,2.7526300224803926
E02001754,435583.175,569276.8638,North Shields (Tyne and Wear Metro),435362.0,568330.0,NE290BH,9.147731535347966e-06,0.9714534125323087
E02001795,438874.3648,558634.5769,Stadium Of Light (Tyne and Wear Metro),439654.0,558344.0,SR5 1HX,2.3172311102856656e-05,0.8297568236491972
E02004975,509632.8194,196899.750600001,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,0.3072663246437628
E02002643,331636.9642,435484.669199999,Central Pier (Blackpool Tramway),330592.3333333333,435574.6666666667,FY1 5DN,4.443272429876596e-06,1.0453797794228568
E02001759,435220.0402,568583.436899999,North Shields (Tyne and Wear Metro),435362.0,568330.0,NE290BH,9.147731535347966e-06,0.29010542055521393
E02001713,423738.5826,567809.0746,Regent Centre (Tyne and Wear Metro),424270.0,568638.0,NE3 3TZ,5.2595294686860534e-06,0.98321775470317
E02004963,510834.5849,193791.3137,Moor Park Underground,508600.6666666667,193492.3333333333,HA6 2JQ,4.893052445283706e-06,2.247251392387223
E02001760,434013.3883,568166.2292,Meadow Well (Tyne and Wear Metro),434302.0,567585.0,NE296BB,1.0757091065671856e-05,0.6481467020962088
E02004962,504683.7614,194601.414100001,Rickmansworth Underground,505717.5,194602.0,WD3 1QY,1.2450378759607245e-06,1.030698070891406
E02007103,427097.4565,564313.1568,Byker (Tyne and Wear Metro),427010.0,564695.0,NE6 1PL,1.0304671871708271e-05,0.39138024327359716
E02002880,453687.8321,342419.486500001,Cinderhill Tram ,453754.6666666667,343814.3333333333,NG6 8PY,1.2669695662084806e-05,1.3957609881820354
E02001781,434450.9222,563486.2119,Brockley Whins (Tyne and Wear Metro),434591.0,562900.0,NE324LA,8.739594697717368e-06,0.6021699477331363
E02003253,519330.0648,297273.046700001,Peterborough (Nene Valleyway),518859.0,298083.0,PE2 9NR,9.203504983816271e-06,0.9359226362154808
E02001787,433209.5205,562223.922700001,Fellgate (Tyne and Wear Metro),433030.0,562645.0,NE324SR,1.3791421573513068e-05,0.45723584234720244
E02005858,452570.4623,337648.683700001,Middle Street,453267.0,337008.25,NG9 2ED,6.103446359222081e-06,0.9445399598980737
E02004958,507731.1135,197029.0721,Croxley Underground,507912.0,195400.5,WD3 3DG,1.0178049390592494e-06,1.6379571499130314
