Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-8174752101,2020-01-13,Y,Abbotts Court Care Home,North East,County Durham,Wingate Lane,Durham,DH6 3LP,54.73924,-1.422607,Sedgefield,"Russi, Justin",,,Y,,Y,,Y,Y,Y,Y,Y,2,2,E06000047,E02004331,E00105499,47,40.0,86.0,0.80207,6.0,13.5403,0.21872
1-842367651,2013-07-19,Y,Parklands Nursing Home,North East,County Durham,Station Road,Seaham,SR7 0AD,54.839455,-1.347421,Easington,"Malhotra, Devinder",Y,Y,,,Y,,,Y,Y,,Y,3,3,E06000047,E02004321,E00105457,54,45.0,84.0,0.8831,6.0,11.1624,0.06519
1-8845386921,2020-06-01,Y,St Helens Care Home,North East,County Durham,6 Manor Road,Bishop Auckland,DL14 9DL,54.636378,-1.708657,Bishop Auckland,"Cunningham, Amanda",Y,Y,,,Y,,Y,Y,Y,,Y,3,3,E06000047,E02004354,E00171814,40,36.0,90.0,0.87366,0.0,0.0,0.10242
1-8861734586,2020-06-01,Y,Langley Park Care Home,North East,County Durham,Front Street,Durham,DH7 9YY,54.800446,-1.669982,North West Durham,"Cunningham, Amanda",,,Y,,Y,,,Y,,,,5,5,E06000047,E02004307,E00104824,46,41.0,90.0,0.85952,4.0,8.9104,0.04322
1-894036780,2013-08-20,Y,"NEAS, Short Term Residential Breaks",North East,County Durham,New Warlands Farm,Durham,DH7 6EX,54.834467,-1.662636,North West Durham,"Stoker, Brian",,,Y,Y,,Y,,,,,,2,2,E06000047,E02004306,E00104684,23,8.0,35.0,0.9822,4.0,18.4463,0.02251
1-894198181,2013-09-03,Y,Thornfield Grange,North East,County Durham,60 Etherley Lane,Bishop Auckland,DL14 7QZ,54.659019,-1.68497,Bishop Auckland,"Smith, Peter",Y,Y,,,,Y,Y,Y,,,Y,3,3,E06000047,E02004353,E00105930,10,8.0,83.0,0.84729,1.0,5.7735,0.00039
1-9504574849,2020-09-15,Y,Ashwood Park Residential and Nursing Home,North East,County Durham,Seaside Lane,Peterlee,SR8 3XZ,54.786802,-1.34228,Easington,"O'Connor, Sheila",Y,Y,,,Y,,,Y,,,,4,4,E06000047,E02004325,E00105307,65,55.0,84.0,0.83033,13.0,20.6167,0.13772
1-9504574946,2020-09-15,Y,Birchwood Court Residential Care Home,North East,County Durham,Seaside Lane,Peterlee,SR8 3XZ,54.786802,-1.34228,Easington,"O'Connor, Sheila",,,Y,,Y,,,Y,,,,3,3,E06000047,E02004325,E00105307,43,41.0,95.0,0.83908,3.0,8.0561,0.19447
1-9504575030,2020-09-15,Y,Rushyfields Residential and Nursing Home,North East,County Durham,Brandon Lane,Durham,DH7 8SH,54.75412,-1.632245,City of Durham,"O'Connor, Sheila",Y,Y,,,Y,,Y,Y,,,,6,6,E06000047,E02004317,E00104980,41,30.0,73.0,0.8183,11.0,27.0721,0.1713
1-974089340,2013-10-11,Y,Dr. Ashdown's Stockton Lodge,North East,County Durham,Seaton Park,Seaham,SR7 0HJ,54.838843,-1.367609,Easington,"Ashdown, Andrew",Y,Y,Y,,Y,,,Y,Y,,Y,3,3,E06000047,E02004320,E00105477,39,27.0,69.0,0.82219,3.0,6.784,0.12291
