area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00072846,14,21,34,21,18,8,16,24,17,20,28,19,28,19,12,21,14,13
E00072847,15,20,8,7,11,19,27,20,22,14,17,18,22,4,11,6,4,2
E00072848,14,19,10,13,14,15,12,12,18,19,29,18,24,22,19,6,9,9
E00072849,13,6,8,12,5,4,13,8,6,16,17,29,28,29,31,26,17,18
E00072850,6,9,6,20,17,9,5,21,10,16,20,12,20,26,26,32,24,11
E00072851,12,11,12,10,10,14,11,6,19,11,19,21,15,22,23,24,25,22
E00072852,17,24,17,7,24,31,28,26,27,16,37,32,15,16,25,13,9,5
E00072853,21,20,20,18,26,18,19,16,24,10,25,21,12,13,21,19,17,28
E00072854,16,25,26,24,33,30,33,19,35,28,44,22,22,22,24,10,7,7
E00072855,18,13,13,15,22,18,17,14,13,18,13,23,11,7,11,6,6,9
E00072856,20,18,20,21,30,14,18,18,16,18,30,24,20,13,24,9,13,19
E00072857,28,46,29,48,28,24,31,33,41,47,39,47,30,24,33,33,16,10
E00072858,25,12,15,20,16,13,26,12,14,12,25,25,18,19,12,14,4,7
E00072859,14,18,23,15,23,17,19,14,17,19,28,29,25,18,19,19,7,4
E00072860,9,11,11,20,8,3,15,9,10,20,21,16,22,17,40,38,25,12
E00072861,17,21,41,16,19,19,11,26,26,35,41,30,33,33,37,30,25,19
E00072862,11,13,10,12,15,10,11,6,9,20,15,19,13,22,29,23,11,15
E00072864,10,8,6,5,9,14,21,9,9,8,20,12,20,16,19,19,10,12
E00072865,21,26,23,28,27,38,15,28,28,33,24,31,23,16,20,12,7,2
E00072866,13,25,19,16,26,13,17,17,17,20,14,23,20,17,37,14,15,11
E00072867,18,23,32,26,19,30,19,22,24,25,31,37,18,15,16,15,8,15
E00072868,13,26,29,16,16,11,21,18,26,21,24,21,16,23,19,20,16,16
E00072869,19,17,20,16,17,15,15,15,10,11,17,14,17,17,17,12,17,34
E00072870,12,20,8,11,12,10,26,16,13,14,11,26,27,17,27,25,10,20
E00072871,21,18,19,18,52,31,23,13,18,24,28,22,17,11,11,10,3,7
E00072872,15,18,10,9,6,20,34,20,13,12,16,16,16,18,18,18,10,14
E00072873,9,6,16,20,8,4,10,5,14,17,36,19,23,8,28,19,7,9
E00072874,6,18,6,15,4,22,30,14,14,12,10,12,15,10,18,12,11,13
E00072875,10,12,23,9,9,7,12,7,16,24,16,20,29,20,21,13,9,12
E00072876,3,5,11,5,19,5,1,7,8,13,16,15,16,28,26,17,11,15
E00072877,22,18,21,22,12,7,4,20,23,28,31,15,15,14,15,17,9,11
E00072878,7,13,14,13,16,14,16,9,16,14,17,24,24,16,15,5,8,14
E00072879,11,18,33,42,37,22,20,12,28,33,48,27,20,17,15,17,5,8
E00072880,16,25,40,29,11,12,13,16,20,48,32,20,15,15,21,10,5,7
E00072881,7,21,30,42,39,9,8,11,26,37,29,19,18,16,10,6,13,12
E00072882,9,16,18,19,22,9,11,7,18,24,29,14,19,7,15,20,19,28
E00072883,21,26,20,10,20,20,20,29,22,24,11,22,11,15,10,5,4,4
E00072884,8,9,9,10,8,7,10,10,6,17,17,21,14,21,23,14,10,14
E00072885,19,33,40,28,22,7,15,30,33,33,29,28,13,14,13,9,6,6
E00072886,15,20,12,26,50,16,24,18,21,28,21,21,9,17,7,6,2,1
E00072887,8,7,8,4,32,22,10,19,12,17,8,22,18,9,16,8,14,7
E00072888,13,17,19,29,54,37,18,18,13,31,28,31,31,12,19,10,8,7
E00072889,15,16,6,11,61,23,26,24,17,21,18,11,6,5,6,3,4,3
E00072890,26,23,17,19,19,22,28,33,18,27,23,21,15,13,10,6,10,6
E00072891,23,20,19,20,37,27,35,22,22,13,19,20,23,11,5,3,3,5
