msoa,staff/owner,staff/owner's relative,temporary/visiting
E02000555,0,0,1
E02000556,0,0,2
E02000557,2,0,5
E02000558,1,0,18
E02000559,0,0,0
E02000560,0,2,2
E02000561,0,0,4
E02000562,15,3,4
E02000563,0,0,0
E02000564,0,0,6
E02000565,0,0,3
E02000566,0,0,0
E02000567,0,0,0
E02000568,0,14,25
E02000569,0,0,0
E02000570,0,0,1
E02000571,0,0,0
E02000572,0,0,0
E02000573,4,0,2
E02000574,1,1,21
E02000575,15,0,19
E02000576,2,0,9
E02000577,0,0,14
E02000578,0,5,4
E02000579,0,0,2
E02000580,0,0,0
E02000581,0,0,0
E02000582,31,4,9
E02000583,0,0,0
E02000584,0,0,0
E02000585,4,0,47
E02000586,1,0,2
E02000587,0,0,0
E02000588,0,0,1
E02000589,19,1,50
E02000590,0,1,2
E02000591,4,0,31
E02000592,5,5,6
E02000593,18,0,2
E02000594,1,2,4
E02000595,1,0,3
E02000596,0,0,1
E02000597,0,0,0
E02000598,0,0,0
E02000599,5,15,2
E02000600,0,0,0
E02000601,0,0,0
E02000602,0,0,14
E02000603,0,0,12
E02000604,0,0,2
E02000605,0,0,9
E02000606,3,0,5
E02000607,0,1,2
E02000608,0,0,22
E02000609,0,0,0
E02000610,0,0,0
E02000611,0,0,0
E02000612,0,0,1
E02000613,0,0,0
E02000614,0,0,0
E02000615,0,0,0
E02000616,0,0,0
E02000617,0,0,0
E02000619,0,0,23
E02000620,3,0,6
E02000621,13,1,9
E02000622,0,0,4
E02000623,0,0,0
E02000624,0,0,5
E02000625,0,0,11
E02000626,0,1,4
E02000627,1,0,7
E02000628,0,0,1
E02000629,0,0,0
E02000630,0,0,1
E02000631,0,2,1
E02000632,0,0,21
E02000633,0,0,1
E02000634,0,0,0
E02000635,0,0,0
E02000636,0,0,30
E02000637,0,0,9
E02000638,4,2,31
E02000639,0,0,1
E02000640,0,0,0
E02000641,0,0,12
E02000642,4,0,0
E02000643,0,0,0
E02000644,0,0,0
E02000645,0,0,0
E02000646,2,2,4
E02000647,0,0,3
E02000648,0,0,0
E02000649,0,0,1
E02000650,0,2,2
E02000651,2,0,2
E02000652,0,0,0
E02000653,0,0,0
E02000654,0,0,0
E02000655,0,1,3
E02000657,0,0,10
E02000658,2,0,0
E02000659,0,0,4
E02000660,0,0,39
E02000661,3,0,0
E02000662,0,0,0
