Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RXL06,Clifton Hospital,NHS TRUST SITE,FY81PB,RXL,53.744359,-3.007247,E02005210
RXL73,Clitheroe Hospital,NHS TRUST SITE,BB74JX,RXL,53.885283,-2.366014,E02005271
RW41E,Clock View Hospital,NHS TRUST SITE,L91EP,RW4,53.451064,-2.969018,E02001352
RWELC,Coalville Community Hospital,NHS TRUST SITE,LE674DE,RWE,52.722883,-1.349847,E02005405
RTF2D,Cobalt Hospital,NHS TRUST SITE,NE270BY,RTF,55.024056,-1.510464,E02001748
RA255,Cobham Community Hospital,NHS TRUST SITE,KT111HT,RA2,51.334521,-0.408553,E02006333
RAX70,Cobham Hospital,NHS TRUST SITE,KT111HS,RAX,51.335443,-0.408219,E02006333
RNNCB,Cockermouth Hospital,NHS TRUST SITE,CA139HT,RNN,54.667192,-3.358501,E02003971
RP410,Colchester General Hospital,NHS TRUST SITE,CO45JL,RP4,51.910164,0.899182,E02007057
A3N3P,Colman Hospital,NHS TRUST SITE,NR22PJ,RY3,52.620275,1.268826,E02005592
RV989,Coltman Street Day Hospital,NHS TRUST SITE,HU32SG,RV9,53.741335,-0.362015,E02002681
M4E0N,Community Hospitals Lchs,NHS TRUST SITE,LN57JH,RY5,53.226467,-0.52415,E02005447
RYW02,Community Unit 29 At Heartlands Hospital,NHS TRUST SITE,B95SS,RYW,52.480218,-1.829966,E02001892
RJN63,Congleton War Memorial Hospital,NHS TRUST SITE,CW123AR,RJN,53.158025,-2.202675,E02003818
RX2M1,Conquest Hospital,NHS TRUST SITE,TN377RD,RX2,50.885167,0.56727,E02004369
RNA04,Corbett Hospital,NHS TRUST SITE,DY84JB,RNA,52.465406,-2.146398,E02002030
RP1N8,Corby Community Hospital,NHS TRUST SITE,NN172UN,RP1,52.491306,-0.710755,E02005615
RCF26,Coronation Hospital,NHS TRUST SITE,LS298TG,RCF,53.923204,-1.813674,E02002183
RVJ21,Cossham Hospital,NHS TRUST SITE,BS151LF,RVJ,51.468887,-2.51612,E02003029
RJR05,Countess Of Chester Hospital,NHS TRUST SITE,CH21UL,RJR,53.2088,-2.897884,E02003797
RXX1T,Cranleigh Hospital,NHS TRUST SITE,GU68AU,RXX,51.141647,-0.489888,E02006451
RXX28,Cranleigh Village Hospital,NHS TRUST SITE,GU68AE,RXX,51.140612,-0.487062,E02006451
RBZ88,Crediton Hospital,NHS TRUST SITE,EX173NH,RBZ,50.792373,-3.674126,E02004174
A5Q9Q,Crewkerne Hospital,NHS TRUST SITE,TA188BG,RH5,50.879978,-2.79788,E02006095
RMY77,Cromer Hospital,NHS TRUST SITE,NR270BQ,RMY,52.923787,1.310057,E02005572
RX3NX,Cross Lane Hospital The Lodge,NHS TRUST SITE,YO126DN,RX3,54.296061,-0.424989,E02005799
RPA76,Crowborough Hospital,NHS TRUST SITE,TN61HB,RPA,51.051445,0.157459,E02004406
RXCLD,Crowborough War Memorial Hospital,NHS TRUST SITE,TN61HF,RXC,51.050122,0.153973,E02004406
RGT2H,Cuh At Brookfields Hospital,NHS TRUST SITE,CB13NL,RGT,52.196927,0.149986,E02003727
RGDTL,Cygnet Hospital Beckton,NHS TRUST SITE,E66ZB,RGD,51.513472,0.0649,E02000746
RGDCY,Cygnet Hospital Bierley,NHS TRUST SITE,BD46AD,RGD,53.768503,-1.732116,E02002239
L4S0G,Cygnet Hospital Harrow,NHS TRUST SITE,HA13JL,RXX,51.567091,-0.337984,E02000461
P3P8S,Cygnet Hospital Maidstone,NHS TRUST SITE,ME145FT,RXX,51.286548,0.556711,E02005072
K5E9C,Cygnet Hospital Woking,NHS TRUST SITE,GU212QS,RXX,51.314751,-0.615592,E02006462
S6D0D,Cygnet Hospital Wolverhampton,NHS TRUST SITE,WV111UH,RW4,52.59799,-2.088916,E02002163
RGDCW,Cygnet Hospital Wyke,NHS TRUST SITE,BD128LR,RGD,53.728504,-1.774582,E02002243
RP1J6,Danetre Hospital,NHS TRUST SITE,NN114DY,RP1,52.25204,-1.160866,E02005625
RXY10,Darent Valley Hospital,NHS TRUST SITE,DA28DA,RXY,51.434952,0.258645,E02005035
RXPDA,Darlington Memorial Hospital,NHS TRUST SITE,DL36HX,RXP,54.530374,-1.563733,E02007058
RA955,Dartmouth Hospital,NHS TRUST SITE,TQ69BD,RA9,50.35029,-3.577672,E02004195
RA956,Dawlish Hospital,NHS TRUST SITE,EX79DH,RA9,50.580583,-3.474788,E02004206
RWRF5,Day Hospital,NHS TRUST SITE,WD63PJ,RWR,51.653669,-0.281822,E02004905
RTE02,Delancey Hospital,NHS TRUST SITE,GL539DT,RTE,51.878307,-2.076378,E02004614
RHW26,Dellwood Hospital,NHS TRUST SITE,RG302DX,RHW,51.447542,-1.001745,E02003403
RTQ73,Denmark Road Day Hospital,NHS TRUST SITE,GL13HZ,RTQ,51.870712,-2.232124,E02004637
RRKE2,Dental Hospital,NHS TRUST SITE,B57EG,RRK,52.449991,-1.914476,E02001905
A3K2A,Dental Hospital,NHS TRUST SITE,NE24AZ,RTD,54.981501,-1.622718,E02007099
RM106,Dereham Hospital,NHS TRUST SITE,NR192EX,RM1,52.690016,0.945704,E02005505
RK950,Derriford Hospital,NHS TRUST SITE,PL68DH,RK9,50.41672,-4.113684,E02003126
RN330,Devizes Community Hospital,NHS TRUST SITE,SN101EF,RN3,51.354581,-1.99323,E02006638
RXF10,Dewsbury & District Hospital,NHS TRUST SITE,WF134HS,RXF,53.702252,-1.651877,E02002286
RR857,Diana Princess Of Wales Hospital,NHS TRUST SITE,DN332BA,RR8,53.544882,-0.096233,E02002741
RTH24,Didcot Community Hospital,NHS TRUST SITE,OX110AG,RTH,51.604427,-1.260127,E02005967
RTE31,Dilke Memorial Hospital,NHS TRUST SITE,GL143HX,RTE,51.811207,-2.519863,E02004629
RT1GD,Doddington Hospital,NHS TRUST SITE,PE150UG,RT1,52.499892,0.055847,E02003751
J4J6C,Dolan Park Hospital,NHS TRUST SITE,B601LY,RLQ,52.333442,-2.002685,E02006709
RFRDR,Doncaster & Bassetlaw Hospitals,NHS TRUST SITE,DN25LT,RFR,53.530805,-1.108942,E02001556
RFRDG,Doncaster Gate Hospital,NHS TRUST SITE,S651DA,RFR,53.429997,-1.352431,E02001594
RVR30,Dorking General Hospital,NHS TRUST SITE,RH42AA,RVR,51.225789,-0.332941,E02006371
RBK36,Dorothy Pattison Hospital,NHS TRUST SITE,WS29XH,RBK,52.582148,-2.002431,E02002140
I7M3Y,Dorset County Hospital Outpatient Therapies Centre,NHS TRUST SITE,DT29RL,RBD,50.751635,-2.456533,E02004272
RX297,Dove Day Hospital,NHS TRUST SITE,RH117DH,RX2,51.1166,-0.197375,E02006581
RXM18,Dovedale Day Hospital,NHS TRUST SITE,DE12XX,RXM,52.914045,-1.466787,E02002813
