msoa,staff/owner,staff/owner's relative,temporary/visiting
E02004677,17,1,0
E02004678,18,0,0
E02004679,4,0,1
E02004680,0,0,0
E02004681,1,0,2
E02004682,0,0,0
E02004683,10,0,0
E02004684,0,0,1
E02004685,4,0,2
E02004686,2,0,0
E02004687,0,0,0
E02004688,0,0,0
E02004689,0,1,0
E02004690,0,0,0
E02004691,1,0,1
E02004692,0,0,0
E02004693,0,0,0
E02004694,4,0,0
E02004695,0,0,0
E02004696,0,0,0
E02004697,5,2,1
E02004698,2,0,0
E02004699,0,0,0
E02004700,0,0,0
E02004702,0,0,0
E02004703,3,0,0
E02004704,0,0,0
E02004705,0,0,0
E02004706,0,0,0
E02004707,9,0,14
E02004708,0,0,0
E02004709,0,0,0
E02004710,0,0,0
