area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00031968,24,29,31,28,17,20,37,32,19,20,20,19,13,10,20,15,6,5
E00031969,18,19,22,21,17,20,23,22,17,18,20,21,19,14,20,15,7,6
E00031970,15,23,15,10,18,28,23,20,12,19,25,18,18,14,20,8,3,11
E00031971,32,17,15,19,22,28,21,25,15,15,21,27,19,13,22,19,3,2
E00031972,16,8,11,9,17,10,11,12,9,18,22,13,25,21,10,11,5,4
E00031973,10,13,9,13,12,15,15,13,5,18,16,27,28,15,19,8,10,3
E00031974,31,40,52,25,26,20,28,21,27,23,21,14,15,9,6,5,2,1
E00031975,7,6,13,13,15,12,15,12,17,14,35,33,22,28,15,15,9,7
E00031976,27,31,35,22,17,27,22,25,25,18,24,18,11,14,13,12,2,2
E00031977,0,2,0,6,4,4,4,2,18,32,22,45,36,29,15,13,5,7
E00031978,10,6,8,9,15,22,21,23,14,20,20,13,11,4,6,4,3,1
E00031979,21,45,42,38,32,25,45,42,26,37,36,29,17,15,9,14,3,4
E00031980,16,15,18,21,12,16,15,16,26,22,25,18,7,8,10,4,3,3
E00031981,25,25,36,29,14,26,23,27,17,17,20,14,28,9,8,3,3,4
E00031982,16,12,14,12,16,33,42,20,17,25,19,18,17,11,13,5,2,3
E00031983,31,28,31,23,42,25,20,25,31,28,29,26,17,14,14,10,4,3
E00031984,0,0,1,0,1,6,4,2,9,18,24,34,12,15,11,3,7,0
E00031985,22,25,24,23,18,29,31,37,15,26,18,16,13,17,15,13,2,3
E00031986,21,18,30,9,14,20,27,21,24,21,28,14,21,12,9,10,5,4
E00031987,23,17,11,19,21,29,29,26,21,18,16,20,11,8,2,5,0,3
E00031988,20,19,5,12,25,22,30,13,15,27,28,10,35,15,15,9,11,4
E00031989,10,10,18,24,10,18,16,21,10,21,28,21,24,20,23,20,8,5
E00031990,17,13,14,12,11,21,19,14,18,17,19,37,19,20,20,16,4,2
E00031991,23,19,22,16,12,17,16,18,26,19,30,28,41,10,12,1,6,8
E00031993,38,37,28,11,13,63,61,42,36,29,25,38,36,8,21,19,11,6
E00031994,4,5,13,8,7,16,12,13,17,10,23,22,18,14,57,29,17,7
E00031995,8,8,12,12,13,20,7,12,12,15,22,23,22,14,33,23,13,12
E00031996,37,27,31,25,32,47,40,37,34,26,25,25,23,10,13,14,7,5
E00031997,22,26,24,15,20,27,19,28,33,24,34,28,28,24,22,18,10,7
E00031998,32,11,26,16,22,41,26,26,18,26,19,28,32,30,21,20,5,3
E00031999,3,8,10,11,10,2,9,9,10,19,23,25,21,19,24,19,18,8
E00032000,9,21,14,24,23,23,14,12,15,25,41,20,17,13,11,19,7,4
E00032001,45,33,34,28,27,43,51,48,23,37,40,31,18,9,4,9,2,1
E00032002,10,6,5,10,11,9,13,17,10,23,22,17,14,10,17,16,15,17
E00032003,13,23,25,17,25,18,21,27,23,29,32,29,12,5,5,11,7,3
E00032004,17,32,51,35,36,13,11,21,40,55,45,34,23,18,3,4,5,2
E00032005,12,15,15,16,5,13,23,12,18,18,15,16,16,17,18,6,6,7
E00032006,22,16,37,16,16,21,33,20,38,48,49,39,21,27,37,16,15,9
E00032007,12,8,16,12,8,12,16,10,7,26,19,19,27,16,24,19,13,8
E00032008,17,15,4,5,10,22,17,15,21,12,14,19,17,8,24,13,11,10
E00032009,15,13,6,16,8,14,20,14,16,20,8,27,14,14,18,15,10,8
E00032010,13,13,11,11,10,9,18,11,13,13,23,12,14,16,30,24,5,3
E00032011,15,14,18,16,13,15,14,14,7,19,30,20,16,11,23,15,11,6
E00032012,13,9,6,22,12,13,14,8,10,16,16,24,20,35,37,21,7,9
E00032013,15,13,26,16,18,27,11,11,21,32,28,24,24,10,20,15,14,16
E00032014,15,24,25,17,13,17,16,19,27,27,33,41,15,11,9,8,2,0
E00032015,10,16,19,19,6,8,8,12,14,28,17,26,21,25,36,15,8,2
E00032016,14,14,20,11,5,10,12,14,7,19,9,20,22,23,22,27,14,11
E00032017,10,16,11,5,10,7,16,6,20,15,24,16,7,18,8,9,9,10
E00032018,14,11,6,7,10,13,16,14,13,19,14,18,19,15,16,10,5,3
E00032019,6,7,7,13,13,10,8,12,7,22,18,15,15,17,23,13,5,10
E00032020,12,10,8,21,16,9,9,14,10,26,21,25,28,25,23,19,16,4
E00032021,10,15,24,17,6,14,15,19,21,19,15,16,18,18,16,22,15,7
E00032022,7,14,12,18,9,17,13,6,10,20,20,24,22,9,26,18,15,17
E00032023,5,8,9,6,6,7,11,6,10,6,13,11,15,21,26,29,22,23
E00032024,6,5,8,7,4,6,6,8,8,9,15,17,23,30,22,29,16,20
E00032025,10,14,12,13,16,13,26,17,9,19,24,20,21,20,23,9,4,3
E00032026,8,4,4,5,10,13,11,5,4,18,19,19,25,11,14,10,23,19
E00032027,20,23,31,33,16,14,32,24,14,17,24,22,18,15,12,9,6,6
E00032029,18,15,28,20,13,17,20,25,18,18,16,23,20,19,16,4,3,10
E00032030,12,8,11,4,7,15,17,15,4,5,20,18,19,5,6,6,4,1
E00032031,14,18,29,16,10,8,9,18,34,28,19,23,39,24,27,13,14,7
E00032032,13,16,10,13,7,9,11,15,18,12,19,26,20,23,27,22,16,6
E00032033,4,13,9,12,14,14,12,7,13,12,20,19,16,11,22,10,6,1
E00032034,1,4,2,6,7,10,6,5,4,14,18,13,24,23,30,27,19,21
E00032035,8,6,19,9,5,13,10,10,13,17,17,20,18,28,18,27,9,4
E00032036,10,7,16,6,12,4,15,15,11,16,22,10,18,22,40,16,8,2
E00032037,16,16,23,8,10,12,12,14,20,26,19,28,16,18,21,13,7,11
E00032038,12,12,17,15,13,11,7,12,12,19,27,19,17,19,24,17,5,0
E00032039,13,14,4,9,14,14,25,11,6,12,25,20,15,13,19,14,10,4
E00032040,21,14,24,26,23,26,18,24,14,12,19,22,29,16,10,9,4,4
E00032042,5,8,6,3,7,17,18,5,15,18,20,29,21,13,12,14,4,5
E00032043,13,17,9,9,9,21,19,10,27,25,31,19,10,11,11,11,11,3
E00032044,25,20,19,11,20,32,33,23,18,16,25,14,8,6,6,4,4,2
E00032045,27,38,21,24,29,23,35,34,15,23,20,25,16,8,8,8,3,4
E00032046,28,43,32,23,16,20,25,18,27,22,15,18,18,15,15,3,3,5
E00032047,9,13,12,11,11,12,18,10,13,17,23,26,13,20,20,17,13,5
E00032048,31,29,18,27,29,41,48,40,30,29,15,14,12,10,8,3,2,1
E00032049,8,11,10,6,17,19,28,20,13,9,17,13,13,17,20,11,9,5
E00032050,9,7,7,19,12,10,21,11,4,29,25,28,24,17,34,17,8,6
E00032051,21,15,23,17,18,28,21,16,13,24,22,29,16,6,6,10,1,2
E00032052,23,17,14,26,17,28,33,20,17,22,23,27,12,14,10,8,5,6
E00032053,35,27,18,19,17,35,30,27,11,19,25,25,20,10,7,7,7,1
E00032054,5,13,12,8,11,11,18,13,6,22,25,25,25,14,40,17,8,2
E00032057,34,13,19,14,14,30,31,27,14,17,21,16,21,15,14,9,1,8
E00032058,22,12,17,20,20,26,17,21,24,25,32,15,14,19,20,5,6,3
E00032059,25,20,9,9,15,15,20,16,18,17,23,15,12,14,3,3,4,3
E00032060,18,20,10,13,10,12,17,23,13,23,26,8,14,8,9,10,1,5
E00032062,22,30,26,38,26,39,33,38,26,18,23,34,15,12,9,10,9,4
E00032063,26,20,18,14,15,29,24,20,18,10,20,11,11,10,7,4,4,8
E00032064,35,21,26,19,13,23,46,30,16,14,29,16,18,11,18,12,4,4
E00032065,18,16,16,17,15,11,18,17,18,16,23,13,26,22,20,11,7,3
E00032066,18,12,13,7,20,21,17,19,10,14,31,22,17,15,19,15,7,6
E00032067,18,25,24,23,18,26,28,30,15,29,24,33,11,26,12,9,11,1
E00032068,7,13,21,15,16,18,26,15,16,24,12,17,14,2,12,7,8,0
E00032069,14,12,26,24,16,15,26,22,12,27,25,27,24,15,10,15,6,3
E00032070,18,18,11,9,16,29,26,15,18,21,26,29,11,11,10,4,4,5
E00032071,23,20,17,7,7,13,19,14,15,17,22,16,11,13,32,22,9,8
E00032072,14,10,14,16,12,29,22,14,20,15,29,18,16,9,13,16,9,1
E00032073,15,16,19,18,20,19,21,19,19,18,33,29,15,25,21,11,9,5
E00032074,13,11,5,10,22,30,16,13,19,18,20,28,24,12,10,9,1,0
E00032075,16,13,13,19,18,23,22,19,17,15,24,28,20,16,11,5,6,4
E00032076,23,16,18,17,20,28,32,36,25,27,26,22,20,7,11,3,6,1
E00032077,11,16,11,16,9,12,17,23,19,9,16,21,18,17,22,14,11,5
E00032078,22,17,12,16,31,31,23,15,24,30,10,24,15,10,10,10,4,2
E00032079,14,11,10,13,17,19,17,17,16,15,39,16,13,12,20,14,2,4
E00032080,8,24,30,26,11,15,16,19,22,37,32,29,21,18,6,14,1,3
E00032081,34,27,22,20,50,40,39,33,18,12,18,34,19,8,11,1,5,1
E00032082,14,18,12,6,5,16,27,12,11,14,14,18,22,19,21,17,2,2
E00032083,48,29,23,14,41,68,53,34,20,26,23,20,9,7,8,10,3,3
E00032084,21,29,26,25,19,26,36,42,25,27,33,17,22,6,12,14,11,2
E00032085,8,16,9,16,17,15,11,15,19,18,33,28,21,18,16,4,3,2
E00032086,7,9,13,23,13,7,8,16,8,19,38,39,29,28,15,23,10,1
E00032087,10,16,22,17,11,17,17,16,22,27,33,27,22,21,26,5,13,6
E00032088,21,17,16,16,16,27,22,21,18,19,22,21,22,17,10,8,2,4
E00032089,29,35,38,48,28,30,34,48,43,38,24,26,26,18,21,6,6,9
E00032090,21,11,11,7,20,42,24,20,21,16,27,23,16,18,11,6,7,5
E00032091,13,16,19,17,15,19,20,11,24,26,24,20,19,25,23,25,16,3
E00032092,11,10,14,12,13,19,25,15,10,14,18,19,19,17,18,18,12,8
E00032094,16,12,19,29,36,45,47,42,37,24,33,25,9,22,11,8,5,11
E00032095,18,25,30,25,10,30,32,19,34,39,44,27,11,20,29,27,33,53
E00032096,18,9,4,18,18,25,23,19,13,20,22,13,12,14,14,10,4,13
E00032097,17,10,19,8,12,18,11,27,12,13,23,24,15,10,7,10,6,0
E00032098,13,17,15,14,15,31,29,30,17,14,21,17,16,16,6,4,5,0
E00032099,13,9,9,9,35,43,43,31,15,27,24,35,15,12,18,18,9,15
E00032100,14,8,13,14,8,29,19,25,14,18,13,26,24,16,12,7,5,4
E00032101,14,18,16,9,9,19,25,20,16,12,24,18,23,9,11,5,0,0
E00032102,17,13,13,7,7,29,17,20,18,11,16,25,21,10,12,18,13,6
E00032103,8,13,14,7,14,9,14,16,10,14,14,25,19,30,20,27,13,6
E00032104,19,26,25,28,18,24,28,18,20,26,21,26,19,17,13,8,3,2
E00032105,23,31,41,28,14,27,28,29,25,24,13,16,21,8,12,6,3,5
E00032106,17,22,19,16,27,16,17,22,21,22,26,16,17,12,8,8,3,5
E00032107,26,45,29,33,13,18,31,42,23,20,22,25,12,16,12,9,14,33
E00032108,26,24,20,10,14,14,25,20,11,5,16,20,19,4,12,11,5,6
E00032109,19,26,18,23,14,17,21,23,20,41,35,36,27,26,12,13,6,4
E00032110,13,13,18,12,15,18,25,23,18,28,28,24,13,9,13,12,3,3
E00032111,11,18,13,25,12,13,25,11,21,25,19,20,13,10,18,10,9,7
E00032112,31,24,29,32,23,40,34,51,28,28,32,36,20,17,23,8,4,11
E00032113,32,20,18,15,17,35,35,28,29,27,19,17,22,17,8,16,3,7
E00032114,36,28,22,22,30,18,24,24,16,15,15,19,18,7,6,7,4,4
E00032115,6,14,20,19,14,11,10,16,19,25,17,34,20,15,25,23,16,8
E00032116,9,9,6,8,10,9,8,8,14,12,29,33,26,26,20,28,15,10
E00032117,13,21,12,8,14,24,27,27,11,25,27,7,7,8,13,11,6,1
E00032118,4,12,13,15,16,12,2,4,22,24,30,25,31,25,40,36,14,11
E00032119,12,18,11,3,11,18,25,16,11,15,20,12,20,14,18,19,9,6
E00032120,9,15,15,11,17,29,15,19,21,22,11,26,18,6,10,3,4,1
E00032121,13,13,15,17,17,14,39,19,26,15,33,21,15,4,14,10,3,3
E00032122,17,13,14,7,16,19,25,26,10,9,16,12,10,10,10,12,2,0
E00032123,12,10,18,11,11,8,19,11,12,19,24,16,30,20,30,23,9,7
E00032124,19,20,22,10,17,25,24,32,20,11,29,19,18,17,8,10,6,1
E00032125,12,17,14,13,14,23,27,17,24,12,24,23,9,9,8,1,1,0
E00032126,17,20,26,26,16,16,22,26,23,25,32,26,12,8,8,3,1,3
E00032127,8,15,9,9,11,8,14,19,13,13,15,13,31,25,25,10,12,14
E00032128,3,9,19,14,15,5,9,12,10,23,22,15,32,33,41,13,8,6
E00032129,12,14,27,15,15,7,9,16,22,28,28,21,16,26,25,6,6,5
E00032130,10,12,21,21,14,15,13,18,15,29,44,34,30,17,25,17,8,8
E00032131,15,21,23,20,18,16,11,14,27,28,35,32,25,9,21,14,14,2
E00032132,14,11,24,20,13,12,13,16,24,16,31,27,25,13,17,9,7,3
E00032133,18,26,15,17,11,22,22,27,25,21,23,41,24,30,23,26,20,8
