Station,Location,Easting,Northing
Glyndyfrdwy (Llangollenway),Glyndyfrdwy,315039.0,342893.0
Goathland (North Yorkshire Moorsway),Goathland,483707.0,501337.0
Gogarburn (Edinburgh Trams),Gogar,316876.0,672454.0
Golders Green,Golders Green,525248.25,187478.0
Goldhawk Road,Goldhawk Road,523173.0,179606.0
Goodge Street,Goodge Street,529531.0,181840.0
Goodrington (Paignton and Dartmouthway),Paignton,289140.0,59560.0
Gotherington (Gloucs Warwicksway),Gotherington,397506.0,229864.0
Govan SPT Subway,Govan,255486.5,665650.0
Grange Hill Underground,Grange Hill,544947.5,192581.5
Granville Rd - Sheffield College,Park Hill,435936.0,386527.0
Granville Rd-Sheff Coll to City,Norfolk Park,435935.75,386527.25
Gravel Hill Tram ,Forestdale,536384.5,163544.0
Great Centralway,Birstall,458721.0,308206.0
Great Portland Street,Great Portland Street,528856.0,182177.75
Green Park,Green Park,528985.8,180288.3
Greenford Underground,Greenford,514795.0,183910.0
Greenway Halt,Galmpton,288264.5,55250.0
Greenwich,Greenwich,537975.0,177350.5
Gregory Street Tram ,Lenton,455399.0,338815.0
Groombridge (Spa Valleyway),Groombridge,553266.0,137076.5
Gunnersbury Underground,Gunnersbury,519836.0,178394.0
Gyle Centre (Edinburgh Trams),South Gyle,317750.0,672440.0
Gynn Square (Blackpool Tramway),Claremont,330663.6666666667,438013.6666666667
Hackenthorpe,Hackenthorpe,441305.3333333333,383142.6666666667
Hadrian Road (Tyne and Wear Metro),Hadrian Road,431071.0,566512.0
Hainault,Hainault,545065.0,191514.0
Halfway,Halfway Tram Stop,443765.5,381490.5
Hammersmith (H&C Line) Underground,Hammersmith,523370.0,178602.5
Hammersmith (H&C and Circle Lines),Hammersmith,523371.5,178590.25
Hampstead,Hampstead,526379.5,185770.75
Handsworth Booth St (Midland Metro ),Handsworth,403343.0,289341.5
Hanger Lane,Hanger Lane,518530.75,182609.5
Harbour City (Manchester Metrolink),The Lowry,380769.4,397522.8
Harlesden Underground,Harlesden,520925.0,183372.0
Harman's Cross (Swanageway),Harmans Cross,398269.5,80009.5
Harrington Road Tram ,South Norwood,535012.5,168516.0
Harrow & Wealdstone Underground,Harrow & Wealdstone,515420.0,189470.0
Harrow Place (Blackpool Tramway),Harrowside,330380.3333333333,432311.6666666667
Harrow-on-the-Hill Underground,Harrow,515314.0,188013.0
Haste Hill (Ruislip Lidoway),Ruislip Common,508913.0,189802.0
Hatton Cross,Hatton Cross,509635.5,175375.75
Havenstreet (Isle of Wight Steamway),Havenstreet,455552.5,89783.0
Haverthwaite (Lakeside and Haverthwaite Rly),Haverthwaite,334943.0,484240.0
Haworth (Keighley & Worth Valleyway),Haworth,403462.0,437220.0
Haymarket (Edinburgh Trams),Haymarket,323920.0,673200.0
Haymarket (Tyne and Wear Metro),Newcastle upon Tyne,424812.0,564835.0
Heathfield Road (Blackpool Tramway),Broadwater,332609.6666666667,446476.3333333333
Heathrow Terminal 4,Heathrow Airport Terminal 4,508110.5,174470.5
Heathrow Terminal 5 Underground,Heathrow Airport Terminal 5,504940.0,175645.0
Heathrow Terminals 2 & 3 Underground,Heathrow Airport Terminals 1-3,507576.85714285716,175792.0
Heaton Park (Manchester Metrolink),Heaton Park,382411.3333333333,403780.3333333333
Hebburn (Tyne and Wear Metro),Hebburn,430792.0,564663.0
Hendon Central,Hendon Central,522962.5,188632.0
Herdings - Leighton Road,Herdings,437884.0,382988.0
Herdings Park,Herdings,437411.25,382984.5
Herdings-Leighton Rd to City,Herdings,437884.5,382987.75
Heron s,Heron Quays,537426.0,180115.5
Heworth (Tyne and Wear Metro),Heworth,428593.0,561982.0
Heywood (East Lancashireway),Heywood,386388.0,410287.0
High Barnet,Barnet,525021.5,196172.75
High Road,Chilwell,452320.0,336267.25
High Rocks (Spa Valleyway),Ramslye,555796.0,138251.5
High School Tram ,Arboretum,456410.3333333333,340893.6666666667
High Street Kensington,High Street Kensington,525531.5,179559.5
Highbury & Islington Underground,Highbury & Islington,531615.0,184755.0
Highbury Vale Tram ,Highbury Vale,454465.0,343901.8
Highgate,Highgate,528566.8333333333,188155.5
Hillhead SPT Subway,Hillhead,256611.5,667058.0
Hillingdon,North Hillingdon,507595.0,185010.5
Hillsborough,Hillsborough,433343.3333333333,389580.0
Hillsborough Park,Hillsborough,433095.8333333333,389845.5
Holborn,Holborn,530525.0,181519.75
Holland Park,Holland Park,524626.5,180227.5
Hollinsend,Gleadless,438405.6666666667,384048.3333333333
Hollinwood (Manchester Metrolink),Hollinwood,390328.6,402603.6
Holloway Road,Holloway Road,530926.0,185455.0
Holt (North Norfolkway),Holt,609425.0,339460.0
Holt Town (Manchester Metrolink),Holt Town,386021.0,398526.6666666667
Holy Trinity Tram ,Clifton,455175.0,333599.3333333333
Hornchurch,Hornchurch,553949.5,186245.5
Horsted Keynes (Bluebellway),Horsted Keynes,537160.0,129240.0
Hounslow Central,Hounslow Central,513533.0,175962.5
Hounslow East,Hounslow East,514233.5,176202.0
Hounslow West,Hounslow West,512188.0,176156.5
Hoveton (Bure Valleyway),Hoveton,630303.0,318641.5
Howdon (Tyne and Wear Metro),Howdon,432440.0,566900.0
Hucknall Tram ,Hucknall,454004.3333333333,349324.6666666667
Hyde Park,Hyde Park,436520.3333333333,387670.0
Hyde Park Corner,Hyde Park Corner,528331.9285714286,179861.7857142857
Hyson Green Market Tram ,Hyson Green,455783.0,341304.0
Hythe (RHDR),Hythe,615317.5,134703.0
IFS Cloud Greenwich Peninsula,North Greenwich,539487.0,179774.5
Royal Victoria,Royal Victoria,540153.0,180772.75
Ibrox SPT Subway,Cessnock,255839.0,664782.0
Ickenham,Ickenham,508098.5,185942.0
Idridgehay (Ecclesbourne Valleyway),Idridgehay,428973.5,348826.5
Ilford Road (Tyne and Wear Metro),West Jesmond,424993.0,567357.0
Imperial War Museum (Manchester Metrolink),Trafford Park,380394.6666666667,396916.6666666667
Infirmary Road,Upperthorpe,434515.6666666667,388351.6666666667
Ingliston Park & Ride (Edinburgh Trams),Ingliston,315400.0,672762.0
Ingrow West (Keighley & Worth Valleyway),Ingrow,405690.0,439730.0
Inham Road,Chilwell,450427.0,336055.75
Irton Road (Ravenglass and Eskdaleway),Eskdale Green,313717.0,499966.0
Island Gardens,Island Gardens,538257.5,178418.0
Jarrow (Tyne and Wear Metro),Jarrow,432505.0,565105.0
Jesmond (Tyne and Wear Metro),Jesmond,425347.0,565457.0
Jewellery Quarter (Midland Metro ),Jewellery Quarter,405992.0,287975.5
Keith Town (Keith and Dufftownway),Keith,342894.0,850800.0
Kelvinbridge SPT Subway,Kelvinbridge,257474.0,666920.0
Kelvinhall SPT Subway,Partick,256179.5,666574.5
Kennington,Kennington,531611.5,178294.5
Kenrick Park (Midland Metro ),West Bromwich,401335.0,290065.0
Kensal Green Underground,Kensal Green,523220.0,182785.0
Kensington (Olympia) Underground,Olympia,524350.0,179150.0
Kentish Town Underground,Kentish Town,529010.0,185129.0
Kenton Underground,Kenton,516715.0,188330.0
Kew Gardens Underground,Kew Gardens,519182.0,176738.0
Kilburn,Brondesbury,524626.5,184636.0
Kilburn Park,Kilburn Park,525365.5,183335.5
King George V.,Silvertown,543253.5,180130.0
King Henry's Drive Tram ,New Addington,537970.0,162576.0
King's Cross St. Pancras Underground,Kings Cross,530209.5,182988.85714285713
Kingsbury,Kingsbury,519351.0,188742.5
Kingscote (Bluebellway),Kingscote,536732.5,135558.0
Kingsley & Froghall (Churnet Valleyway),Froghall,402475.0,347145.0
Kingston Park (Tyne and Wear Metro),Kingston Park,421515.0,568920.0
Kingsway (Manchester Metrolink),Milnrow,391908.25,412738.75
Kingswear (Paignton and Dartmouthway),Kingswear,288185.0,51057.0
Kinneil (BoÃ¢ÂÂness & Kinneilway),Boness,298819.0,681411.0
Kinning Park SPT Subway,Kinning Park,256869.0,664285.5
Kirkhaugh (South Tynedaleway),Kirkhaugh,369468.0,549950.0
Knightsbridge,Knightsbridge,527759.625,179665.875
Lace Market Tram ,Lace Market,457509.6666666667,339854.3333333333
Ladbroke Grove,Ladbroke Grove,524281.0,181353.0
Ladywell (Manchester Metrolink),Ladywell,378414.4,398632.6
Lakeside (Lakeside & Haverthwaite Rly),Lakeside,337871.0,487393.0
Lambeth North,Lambeth North,531131.5,179454.5
Lancaster ,Lancaster Gate,526709.5,180775.0
Langdon Park,All Saints,537888.25,181449.0
Langsett - Primrose View,Langsett Road,434054.0,388891.0
Langsett-Prim Vw  to City,Langsett Road,434054.0,388891.25
Langworthy (Manchester Metrolink),Langworthy,380445.0,398249.3333333333
Latimer Road,Latimer Road,523772.5,180907.5
